8192,100,7,6,0,1,1,0.050000,2,0.050000
4096,100,8,5,0,0,1,0.100000,2,0.050000
2048,100,8,5,0,1,1,0.100000,1,0.100000
1024,100,10,5,0,1,1,0.050000,2,0.100000
512,100,7,6,0,1,1,0.100000,1,0.150000
256,100,9,5,0,1,1,0.150000,1,0.100000
128,100,9,5,0,0,1,0.050000,1,0.100000
64,100,9,5,0,1,1,0.100000,1,0.050000
32,100,22,7,0,1,1,0.100000,2,0.100000
8192,100000,49379,15011,22,16,6,0.188350,3156,0.170550
4096,100000,33756,19194,18,16,9,0.218150,4068,0.213750
2048,100000,30721,28452,13,13,9,0.347600,7061,0.305950
1024,100000,33012,42226,31,14,8,0.449300,8680,0.444500
512,100000,50580,86156,27,16,9,0.890200,17299,0.890350
256,100000,81272,161354,54,23,13,1.714350,33063,1.694750
128,100000,191949,434366,50,38,41,4.398600,88101,4.637700
64,100000,401890,907264,75,115,116,9.185750,183610,9.132750
32,100000,59759,20123,173,182,8,0.192950,3643,0.190900
